,Position,Track Name,Artist,Streams,Week,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists,explicit,popularity,artist_ids
10,11,Falling,Trevor Daniel,6214855,2020-02-21,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4,['Trevor Daniel'],False,84,['7uaIm6Pw7xplS8Dy06V6pT']
11,12,Say So,Doja Cat,6040728,2020-02-21,3Dv1eDb0MEgF93GpLXlucZ,0.787,0.6729999999999999,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.7859999999999999,110.962,237893,4,['Doja Cat'],True,84,['5cj0lLjcoR7YOSnhnX0Po5']
12,13,Dance Monkey,Tones And I,5759272,2020-02-21,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4,['Tones And I'],False,68,['2NjfBq1NflQcKSeiDooVjY']
13,14,WHATS POPPIN,Jack Harlow,5740264,2020-02-21,3Q6F8RByyhRTJpRtZLY3cg,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4,['Jack Harlow'],True,23,['2LIk90788K0zvyj2JJVwkJ']
14,15,No Time To Die,Billie Eilish,5614403,2020-02-21,73SpzrcaHk0RQPFP73vqVR,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.53699999999998,242265,4,['Billie Eilish'],False,78,['6qqNVTkY8uBg9cP3Jd7DAH']
15,16,Godzilla (feat. Juice WRLD),Eminem,5552658,2020-02-21,7FIWs0pqAYbP91WWM0vlTQ,0.8079999999999999,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.8290000000000001,165.995,210800,4,"['Eminem', 'Juice WRLD']",True,85,"['7dGJo4pcD2V6oG8kP0tJRR', '4MCBfE4596Uoi2O4DtmEMz']"
16,17,everything i wanted,Billie Eilish,5545262,2020-02-21,3ZCTVFBt2Brf31RLEnCkWJ,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,['Billie Eilish'],False,85,['6qqNVTkY8uBg9cP3Jd7DAH']
17,18,BOP,DaBaby,5423041,2020-02-21,6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77,159715,4,['DaBaby'],True,83,['4r63FhuTkUYltbVAg5TQnk']
18,19,Suicidal,YNW Melly,5327432,2020-02-21,1iSqfoUFnQwV0QW1EfUit8,0.735,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.004,222997,4,['YNW Melly'],True,78,['1cNDP5yjU5vjeR8qMf4grg']
19,20,Adore You,Harry Styles,5136668,2020-02-21,3jjujdWJ72nww5eGnfs2E7,0.6759999999999999,0.7709999999999999,8,-3.675,1,0.0483,0.0237,7.000000000000003e-06,0.102,0.569,99.048,207133,4,['Harry Styles'],False,86,['6KImCVD70vtIoJWnq6nGn3']
20,21,Ballin' (with Roddy Ricch),Mustard,5084084,2020-02-21,3QzAOrNlsabgbMwlZt7TAY,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4,"['Mustard', 'Roddy Ricch']",True,82,"['0YinUQ50QDB7ZxSCLyQ40k', '757aE44tKEUQEqRuT6GnEB']"
21,22,Forever (feat. Post Malone & Clever),Justin Bieber,4887760,2020-02-21,2ZlCGeK30BLRNSPC832pNZ,0.825,0.483,8,-5.746,0,0.08,0.5379999999999999,1.4800000000000002e-05,0.204,0.892,139.98,219933,4,"['Justin Bieber', 'Post Malone', 'Clever']",False,72,"['1uNFoZAHBGtllmzznpCI3s', '246dkjvS1zLTtiykXe5h60', '5yy76ufVriyvidNSvXlRU1']"
22,23,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,4730571,2020-02-21,733c1CWmIGymoQXdp7Us88,0.8190000000000001,0.654,11,-6.665,0,0.136,0.517,0.0,0.0996,0.455,133.503,188563,4,"['A Boogie Wit da Hoodie', 'London On Da Track', 'Roddy Ricch', 'Gunna']",True,71,"['31W5EY0aAly4Qieq6OFu6I', '5Nf5yishRW9Ye174sJISkg', '757aE44tKEUQEqRuT6GnEB', '2hlmm7s2ICUX0LVIhVFlZQ']"
23,24,Sunday Best,Surfaces,4371743,2020-02-21,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,5,-6.8320000000000025,1,0.0578,0.183,0.0,0.0714,0.6940000000000001,112.022,158571,4,['Surfaces'],False,82,['4ETSs924pXMzjIeD6E9b4u']
24,25,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,4335706,2020-02-21,2FvD20Z8aoWIePi7PoN8sG,0.816,0.5820000000000001,8,-4.141,1,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,4,"['DaBaby', 'Lil Baby', 'Moneybagg Yo']",True,75,"['4r63FhuTkUYltbVAg5TQnk', '5f7VJjfbwm532GiveGC0ZK', '3tJoFztHeIJkJWMrx0td2f']"
25,26,Bandit (with YoungBoy Never Broke Again),Juice WRLD,4238666,2020-02-21,6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4,"['Juice WRLD', 'YoungBoy Never Broke Again']",True,82,"['4MCBfE4596Uoi2O4DtmEMz', '7wlFDEWiM5OoIAt8RSli8b']"
