,id,popularity,artist_ids
33260,https://open.spotify.com/track/5JSVa5i6lFPoyOzK4gj0Ox  ,1,['5Rl15oVamLq7FbSb0NNBNy']
34311,https://open.spotify.com/track/68r3esIMdWpIeZqWZQDnfY  ,0,['7gOdHgIoIKoe4i9Tta6qdD']
34344,https://open.spotify.com/track/5qu3j7Ou6LyQFSU9N7Sb5x  ,0,['1pPmIToKXyGdsCF6LmqLmI']
34398,https://open.spotify.com/track/3OB5BAGCGtnEYHRh7B6UH9  ,0,['7gOdHgIoIKoe4i9Tta6qdD']
34786,https://open.spotify.com/track/2093eVNfimjmNjU1gk1ES7  ,29,['05fG473iIaoy82BF1aGhL8']
35619,https://open.spotify.com/track/364spZLB5bhNlnPrzvUB41  ,3,"['31W5EY0aAly4Qieq6OFu6I', '4O15NlyKLIASxsJ0PrXPfz']"
36787,https://open.spotify.com/track/3EludUFeAoJAwSixWGG5Wg  ,2,['24CgJHK6T7C5OmUbiLLMjJ']
36820,https://open.spotify.com/track/35RDmXJ59YYGNlv1KfTGsP  ,0,"['7tYKF4w9nC0nq9CsPZTHyP', '1Xyo4u8uXC1ZmMpatF05PJ', '0Y5tJX1MQlPlqiwlOH1tJY', '22JdJVovP3pV9XkGTih01c']"
37497,https://open.spotify.com/track/4L7Y2OAPiY2I2GndZjAs5K  ,0,"['00FQb4jTyendYWaN8pK0wa', '1Xyo4u8uXC1ZmMpatF05PJ']"
37518,https://open.spotify.com/track/6eGMMPRVYzpssGgednRvzU  ,0,['00FQb4jTyendYWaN8pK0wa']
37526,https://open.spotify.com/track/4mq14Qa6OehdiyZFtHcdCH  ,0,['00FQb4jTyendYWaN8pK0wa']
37529,https://open.spotify.com/track/4xyNG8vZR3g8FnphVkbjRo  ,0,['00FQb4jTyendYWaN8pK0wa']
37557,https://open.spotify.com/track/2Pn76oik9rWyoBShTSNY9Q  ,0,['00FQb4jTyendYWaN8pK0wa']
37580,https://open.spotify.com/track/3qmvK8QARSPkFTuKeIXSbs  ,23,['6XyY86QOPPrYVGvF9ch6wz']
38776,https://open.spotify.com/track/1b0YOwtdW5ibaAhHEsbdjB  ,0,['718COspgdWOnwOFpJHRZHS']
38782,https://open.spotify.com/track/36HbtBrGbRWfeeSq50orF6  ,0,['718COspgdWOnwOFpJHRZHS']
38916,https://open.spotify.com/track/07s9NNOT0sZQp7TyolLLgu  ,1,"['2SrSdSvpminqmStGELCSNd', '3wcj11K77LjEY1PkEazffa', '6eUKZXaKkcviH0Ku9w2n3V']"
40312,https://open.spotify.com/track/2YwC2IM0ykBxtMBH9aMe5m  ,21,"['1pPmIToKXyGdsCF6LmqLmI', '7wlFDEWiM5OoIAt8RSli8b']"
40349,https://open.spotify.com/track/0NPpHHVwyiq5PgWFK4YyI9  ,0,['0ndx5h8ixiRvi2YmWlfbxH']
