,expected,predicted
206,0.78,0.6000738062017956
207,0.59,0.6223807859695905
208,0.8,0.6635475120011065
209,0.74,0.6276156625963897
210,0.0,0.6793530513853561
211,0.74,0.6384062641094692
212,0.72,0.6369544215027505
213,0.61,0.5428681511586143
214,0.49,0.6120710297488503
215,0.71,0.6240027472481283
216,0.48,0.616795860215363
217,0.77,0.6518037071143061
218,0.58,0.587815861388445
219,0.83,0.6181962632751438
220,0.82,0.6429228577009962
221,0.64,0.5968244755407598
222,0.63,0.6009049450086942
223,0.55,0.614077805697733
224,0.76,0.6115679313526436
225,0.79,0.6415180214011125
226,0.76,0.6519657645419419
227,0.76,0.6389421950977955
228,0.66,0.6461416396439793
229,0.68,0.6185918582844026
230,0.59,0.6359453235096082
231,0.78,0.6341353878364882
232,0.01,0.6463609848886217
233,0.81,0.6375011770129496
234,0.7,0.6386727913074222
235,0.0,0.6649122155444184
236,0.74,0.6195512085635788
237,0.55,0.6545320748007383
238,0.69,0.654927641994272
239,0.76,0.6386217986836722
240,0.0,0.6462803007401487
241,0.68,0.6134851149766077
242,0.5,0.6403118936260751
243,0.37,0.6018515248545085
244,0.8,0.6397113030049605
245,0.69,0.6240051563791309
246,0.73,0.6707245759792059
247,0.82,0.6081125664004834
248,0.81,0.6412737756579329
249,0.83,0.5959784614518007
250,0.67,0.6469598536606734
251,0.2,0.6053892002766095
252,0.0,0.6282165978011143
253,0.58,0.6255386675792363
254,0.59,0.6027538944232891
255,0.88,0.6263774033549857
256,0.58,0.6656124204557266
257,0.68,0.6194288581596541
258,0.61,0.606103028743278
259,0.73,0.6274888107336017
260,0.01,0.6556944119250211
261,0.67,0.6401310755343296
262,0.0,0.6224536504646787
263,0.64,0.629607637049692
264,0.59,0.6302216701971242
265,0.63,0.5716783831240557
266,0.01,0.6299287906426984
267,0.58,0.6408224870745081
268,0.59,0.6344523388240789
269,0.58,0.6521390776825817
270,0.76,0.675401003602102
271,0.66,0.6338103407855906
272,0.67,0.612068786119133
273,0.69,0.6302350006374732
274,0.6,0.6116412091698361
275,0.66,0.6478306295095853
276,0.76,0.641059727711546
277,0.59,0.6417970808313981
278,0.0,0.6427349958311196
279,0.01,0.6347486967317693
280,0.67,0.6290757741845503
281,0.81,0.5927177532574669
282,0.55,0.6694847289615188
283,0.6,0.6167875669253214
284,0.61,0.6176855484440009
285,0.65,0.58683850028964
286,0.59,0.6184039436244715
287,0.76,0.6608676663732148
288,0.82,0.6486502225202061
289,0.8,0.6408715109260473
290,0.57,0.5976603785291872
291,0.64,0.620431079226164
292,0.0,0.6408055844841076
293,0.64,0.6515716121543585
294,0.73,0.5868126512775723
295,0.63,0.649477903837126
296,0.43,0.5644105239433261
297,0.63,0.6322259137161309
298,0.6,0.623020727965294
299,0.03,0.6406165087458413
300,0.47,0.6145029881123785
301,0.75,0.6283389093368105
302,0.46,0.5893856184401614
303,0.55,0.6093620838829499
304,0.59,0.6039427354784744
305,0.58,0.6044473926327847
306,0.71,0.632224227256048
307,0.63,0.5958168280266395
308,0.63,0.6221403415319879
309,0.62,0.6265312884418865
310,0.86,0.6395837778593356
311,0.71,0.6469276216249076
312,0.43,0.6132262719547277
313,0.7,0.6362835027774989
314,0.71,0.5902230843746354
315,0.5,0.6348271479276575
316,0.69,0.6052674689007382
317,0.56,0.6124434404405802
318,0.64,0.6561511305869645
319,0.77,0.6402991939326635
320,0.67,0.6038838982613247
321,0.01,0.6265346790322001
322,0.8,0.6657490097877907
323,0.56,0.617955375630533
324,0.67,0.6287960415521875
325,0.66,0.6273685559453873
326,0.63,0.6544518008555639
327,0.72,0.6138454613883217
328,0.62,0.6226690027225428
329,0.55,0.6505316540659858
330,0.69,0.6020900826801632
331,0.6,0.6106885883777914
332,0.72,0.6513016987632272
333,0.62,0.6239323066188451
334,0.73,0.62385477017489
335,0.69,0.606938860025146
336,0.68,0.6323131497392536
337,0.62,0.6557604949601573
338,0.63,0.610608688415301
339,0.66,0.6305901026280463
340,0.0,0.6375283153802582
341,0.63,0.6220657805648775
342,0.56,0.6198131393702502
343,0.02,0.6647971253922415
344,0.72,0.577750630402895
345,0.61,0.6277858309350212
346,0.49,0.6309649091880827
347,0.51,0.6135576499135922
348,0.82,0.6152905285196328
349,0.82,0.6568683354970809
350,0.46,0.6254091117489717
351,0.81,0.586965860473118
352,0.01,0.6285965405509066
353,0.6,0.6096846212654073
354,0.87,0.6787408900268858
355,0.62,0.6533355640364776
356,0.51,0.6238385349035285
357,0.45,0.6341963999146565
358,0.56,0.6271481909499468
359,0.75,0.6304880339395218
360,0.01,0.641733332251755
361,0.59,0.6176908561652857
362,0.69,0.6050812664954248
363,0.0,0.6689615153460147
364,0.53,0.6411058923851649
365,0.68,0.6239392772693638
366,0.0,0.6368496189167359
367,0.0,0.6192965917775322
368,0.72,0.6073273509410771
369,0.0,0.6147222326563214
370,0.64,0.6241146097967887
371,0.75,0.6451064563467102
372,0.8,0.6390659021391311
